Title,Author,Genre
The Great Gatsby,F. Scott Fitzgerald,Fiction
To Kill a Mockingbird,Harper Lee,Fiction
1984,George Orwell,Dystopian
Pride and Prejudice,Jane Austen,Romance
The Catcher in the Rye,J.D. Salinger,Fiction
The Hobbit,J.R.R. Tolkien,Fantasy
Moby Dick,Herman Melville,Adventure
War and Peace,Leo Tolstoy,Historical
The Odyssey,Homer,Classic
The Brothers Karamazov,Fyodor Dostoevsky,Classic
Brave New World,Aldous Huxley,Dystopian
The Da Vinci Code,Dan Brown,Thriller
The Alchemist,Paulo Coelho,Adventure
The Road,Cormac McCarthy,Post-Apocalyptic
Fahrenheit 451,Ray Bradbury,Dystopian
The Shining,Stephen King,Horror
The Sun Also Rises,Ernest Hemingway,Fiction
Gone with the Wind,Margaret Mitchell,Historical
Lord of the Flies,William Golding,Classic
Catch-22,Joseph Heller,Satire
Murder on the Orient Express,Agatha Christie,Mystery
The Hunger Games,Suzanne Collins,Dystopian
The Martian,Andy Weir,Science Fiction
A Game of Thrones,George R.R. Martin,Fantasy
Dune,Frank Herbert,Science Fiction
The Name of the Wind,Patrick Rothfuss,Fantasy
Ender's Game,Orson Scott Card,Science Fiction
The Picture of Dorian Gray,Oscar Wilde,Classic
Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
The Bell Jar,Sylvia Plath,Autobiography
Jane Eyre,Charlotte Brontë,Romance
The Handmaid's Tale,Margaret Atwood,Dystopian
Wuthering Heights,Emily Brontë,Romance
The Secret Garden,Frances Hodgson Burnett,Classic
Dracula,Bram Stoker,Horror
Frankenstein,Mary Shelley,Horror
The Chronicles of Narnia,C.S. Lewis,Fantasy
The Outsiders,S.E. Hinton,Young Adult
Little Women,Louisa May Alcott,Classic
Anne of Green Gables,L.M. Montgomery,Young Adult
The Little Prince,Antoine de Saint-Exupéry,Fantasy
The Wind in the Willows,Ken Grahame,Classic
Les Misérables,Victor Hugo,Historical
The Count of Monte Cristo,Alexandre Dumas,Adventure
The Grapes of Wrath,John Steinbeck,Historical
The Old Man and the Sea,Ernest Hemingway,Fiction
One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism
Don Quixote,Miguel de Cervantes,Classic
The Godfather,Mario Puzo,Crime
Beloved,Toni Morrison,Historical
Catch-22,Joseph Heller,Satire
